category;name;description;unit;unit_price;supplier;supplier_location;valid_from;valid_to
Erdarbeiten / Schüttgüter;Leichtschüttung Blähton;Blähton-Schüttung, trocken, für leichte Ausgleichs- und Dämmschichten.;m³;128.00;Taunus Baustoffhandel GmbH;Bad Homburg;2026-01-01;2026-12-31
Erdarbeiten / Schüttgüter;Glasschaumschotter;Glasschaumschotter 10/60 mm, kapillarbrechend und wärmedämmend, für Bodenplattenunterbau.;m³;112.00;Bergstraße Baustoffe GmbH;Bensheim;2026-01-01;2026-12-31
Beton;Transportbeton C20/25 XC1 F3;Transportbeton C20/25, Expositionsklasse XC1, Konsistenzklasse F3, Größtkorn 16 mm, für Innenbauteile.;m³;118.00;Rhein Stahl & Bau GmbH;Mainz;2026-01-01;2026-12-31
Beton;Transportbeton C20/25 XC2 F3;Transportbeton C20/25, Expositionsklasse XC2, Konsistenzklasse F3, Größtkorn 16 mm, für feuchte Innenbereiche und Fundamente.;m³;121.50;ProBau Technik GmbH;Hanau;2026-01-01;2026-12-31
Beton;Transportbeton C25/30 XC2 F3;Transportbeton C25/30, Expositionsklasse XC2, Konsistenzklasse F3, Größtkorn 16 mm, pumpfähig.;m³;124.00;Muster Baustoffe GmbH;Frankfurt am Main;2026-01-01;2026-12-31
Beton;Transportbeton C25/30 XC3 F3;Transportbeton C25/30, Expositionsklasse XC3, Konsistenzklasse F3, Größtkorn 16 mm, für mäßig feuchte Bauteile.;m³;126.50;Rhein-Main Beton GmbH;Darmstadt;2026-01-01;2026-12-31
Beton;Transportbeton C30/37 XC3 F3;Transportbeton C30/37, Expositionsklasse XC3, Konsistenzklasse F3, Größtkorn 16 mm, pumpfähig.;m³;130.00;Bauhandel Süd GmbH;Mannheim;2026-01-01;2026-12-31
Beton;Transportbeton C30/37 XC4 F3;Transportbeton C30/37, Expositionsklasse XC4, Konsistenzklasse F3, Größtkorn 16 mm, pumpfähig, für Außenbauteile.;m³;133.50;Hessen Baustofflogistik GmbH;Wiesbaden;2026-01-01;2026-12-31
Beton;Transportbeton C30/37 XC4 F4;Transportbeton C30/37, Expositionsklasse XC4, Konsistenzklasse F4, Größtkorn 16 mm, erhöhte Fließfähigkeit.;m³;137.00;Main Baustoffe KG;Offenbach am Main;2026-01-01;2026-12-31
Beton;Transportbeton C30/37 XD1 F3;Transportbeton C30/37, Expositionsklasse XD1, Konsistenzklasse F3, Größtkorn 16 mm, für chloridbeanspruchte Bauteile.;m³;139.50;Neckar Bauprodukte GmbH;Heidelberg;2026-01-01;2026-12-31
Beton;Transportbeton C35/45 XC4 F3;Transportbeton C35/45, Expositionsklasse XC4, Konsistenzklasse F3, Größtkorn 16 mm, für hoch beanspruchte Außenbauteile.;m³;142.00;Taunus Baustoffhandel GmbH;Bad Homburg;2026-01-01;2026-12-31
Beton;Transportbeton C35/45 XD2 F3;Transportbeton C35/45, Expositionsklasse XD2, Konsistenzklasse F3, Größtkorn 16 mm, chloridbeständig.;m³;148.00;Bergstraße Baustoffe GmbH;Bensheim;2026-01-01;2026-12-31
Beton;Transportbeton C35/45 XF1 F3;Transportbeton C35/45, Expositionsklasse XF1, Konsistenzklasse F3, frostbeständig.;m³;146.50;Rhein Stahl & Bau GmbH;Mainz;2026-01-01;2026-12-31
Beton;Transportbeton C35/45 XF2 F3;Transportbeton C35/45, Expositionsklasse XF2, Konsistenzklasse F3, frost- und tausalzbeanspruchte Bereiche.;m³;153.00;ProBau Technik GmbH;Hanau;2026-01-01;2026-12-31
Beton;Magerbeton C12/15;Magerbeton C12/15, Konsistenz F2, für Sauberkeitsschichten und einfache Unterbetonierungen.;m³;108.00;Muster Baustoffe GmbH;Frankfurt am Main;2026-01-01;2026-12-31
Beton;Estrichbeton C25/30;Beton C25/30, feine Gesteinskörnung, für Verbundestriche und kleinere Betonierarbeiten.;m³;129.00;Rhein-Main Beton GmbH;Darmstadt;2026-01-01;2026-12-31
Beton;Sichtbeton C30/37 SB2;Transportbeton C30/37, Sichtbetonklasse SB2, Konsistenz F4, für sichtbar bleibende Bauteile.;m³;162.00;Bauhandel Süd GmbH;Mannheim;2026-01-01;2026-12-31
Beton;Sichtbeton C30/37 SB3;Transportbeton C30/37, Sichtbetonklasse SB3, Konsistenz F4, erhöhte Anforderungen an Oberfläche.;m³;178.00;Hessen Baustofflogistik GmbH;Wiesbaden;2026-01-01;2026-12-31
Beton;WU-Beton C30/37;Wasserundurchlässiger Beton C30/37, XC4, WU-Anforderung, für Kellerwände und Bodenplatten.;m³;154.00;Main Baustoffe KG;Offenbach am Main;2026-01-01;2026-12-31
Beton;Faserbeton C30/37;Stahlfaserbeton C30/37, mittlere Faserzugabe, für Industrieböden und Bodenplatten.;m³;168.00;Neckar Bauprodukte GmbH;Heidelberg;2026-01-01;2026-12-31
Beton;Leichtbeton LC25/28;Leichtbeton LC25/28, für gewichtsreduzierte Bauteile, pumpfähig.;m³;184.00;Taunus Baustoffhandel GmbH;Bad Homburg;2026-01-01;2026-12-31
Beton;Schnellbeton C30/37;Schnell erhärtender Transportbeton C30/37, für zeitkritische Reparatur- und Betonierarbeiten.;m³;196.00;Bergstraße Baustoffe GmbH;Bensheim;2026-01-01;2026-12-31
Bewehrungsstahl;Betonstahl B500B Ø8;Betonstahl B500B, Durchmesser 8 mm, gerippt, als Stabstahl.;t;1010.00;Rhein Stahl & Bau GmbH;Mainz;2026-01-01;2026-12-31
Bewehrungsstahl;Betonstahl B500B Ø10;Betonstahl B500B, Durchmesser 10 mm, gerippt, als Stabstahl.;t;995.00;ProBau Technik GmbH;Hanau;2026-01-01;2026-12-31
Bewehrungsstahl;Betonstahl B500B Ø12;Betonstahl B500B, Durchmesser 12 mm, gerippt, als Stabstahl.;t;985.00;Muster Baustoffe GmbH;Frankfurt am Main;2026-01-01;2026-12-31
Bewehrungsstahl;Betonstahl B500B Ø16;Betonstahl B500B, Durchmesser 16 mm, gerippt, als Stabstahl.;t;978.00;Rhein-Main Beton GmbH;Darmstadt;2026-01-01;2026-12-31
Bewehrungsstahl;Betonstahl B500B Ø20;Betonstahl B500B, Durchmesser 20 mm, gerippt, als Stabstahl.;t;972.00;Bauhandel Süd GmbH;Mannheim;2026-01-01;2026-12-31
Bewehrungsstahl;Betonstahl B500B Ø25;Betonstahl B500B, Durchmesser 25 mm, gerippt, als Stabstahl.;t;968.00;Hessen Baustofflogistik GmbH;Wiesbaden;2026-01-01;2026-12-31
Bewehrungsstahl;Betonstahlmatte Q188A;Bewehrungsmatte Q188A, B500A, für Bodenplatten, Decken und Wände.;t;1075.00;Main Baustoffe KG;Offenbach am Main;2026-01-01;2026-12-31
Bewehrungsstahl;Betonstahlmatte Q257A;Bewehrungsmatte Q257A, B500A, für stärker bewehrte Flächenbauteile.;t;1090.00;Neckar Bauprodukte GmbH;Heidelberg;2026-01-01;2026-12-31
Bewehrungsstahl;Betonstahlmatte Q335A;Bewehrungsmatte Q335A, B500A, für hoch beanspruchte Bodenplatten und Decken.;t;1110.00;Taunus Baustoffhandel GmbH;Bad Homburg;2026-01-01;2026-12-31
Bewehrungsstahl;Edelstahlbewehrung 1.4362;Nichtrostende Bewehrung aus Duplexstahl 1.4362, für korrosiv beanspruchte Bauteile.;kg;6.80;Bergstraße Baustoffe GmbH;Bensheim;2026-01-01;2026-12-31
Bewehrungsstahl;Abstandhalter Faserbeton 40 mm;Faserbeton-Abstandhalter für 40 mm Betondeckung, für horizontale Bewehrung.;Stk;0.48;Rhein Stahl & Bau GmbH;Mainz;2026-01-01;2026-12-31
Bewehrungsstahl;Abstandhalter Kunststoff 30 mm;Kunststoff-Abstandhalter für 30 mm Betondeckung, für Wand- und Deckenbewehrung.;Stk;0.18;ProBau Technik GmbH;Hanau;2026-01-01;2026-12-31
Schalung;Rahmenschalung Wand;System-Rahmenschalung für gerade Stahlbetonwände, mittlere Oberflächenanforderung.;m²;18.50;Muster Baustoffe GmbH;Frankfurt am Main;2026-01-01;2026-12-31
Schalung;Rahmenschalung Wand Sichtbeton;System-Rahmenschalung für Sichtbetonwände, erhöhte Anforderungen an Fugenbild und Oberfläche.;m²;27.00;Rhein-Main Beton GmbH;Darmstadt;2026-01-01;2026-12-31
Schalung;Deckenschalung Standard;Deckenschalungssystem für Ortbetondecken, normale Geschosshöhen bis ca. 3,5 m.;m²;19.80;Bauhandel Süd GmbH;Mannheim;2026-01-01;2026-12-31
Schalung;Deckenschalung hohe Räume;Deckenschalungssystem für Raumhöhen über 3,5 m, einschließlich verstärkter Unterstützung.;m²;29.50;Hessen Baustofflogistik GmbH;Wiesbaden;2026-01-01;2026-12-31
Schalung;Stützenschalung rechteckig;Systemschalung für rechteckige Stahlbetonstützen, variable Querschnitte.;m²;33.00;Main Baustoffe KG;Offenbach am Main;2026-01-01;2026-12-31
Schalung;Rundstützenschalung;Schalung für runde Stahlbetonstützen, wiederverwendbares System.;m²;48.00;Neckar Bauprodukte GmbH;Heidelberg;2026-01-01;2026-12-31
Schalung;Fundamentschalung;Einfache Schalung für Streifen- und Einzelfundamente, normale Oberflächenanforderung.;m²;15.00;Taunus Baustoffhandel GmbH;Bad Homburg;2026-01-01;2026-12-31
Schalung;Randabschalung Decke;Randabschalung für Stahlbetondecken, Höhe bis 30 cm.;m;11.50;Bergstraße Baustoffe GmbH;Bensheim;2026-01-01;2026-12-31
Schalung;Schalhaut 3-Schicht 21 mm;3-Schicht-Schalungsplatte 21 mm, beschichtet, mehrfach verwendbar.;m²;31.00;Rhein Stahl & Bau GmbH;Mainz;2026-01-01;2026-12-31
Schalung;Schalungsanker DW15;Schalungsanker DW15 inklusive Mutter und Teller, für Wandschalung.;Stk;6.50;ProBau Technik GmbH;Hanau;2026-01-01;2026-12-31
Mauerwerk;Kalksandstein 17,5 cm;Kalksandstein-Mauerwerk, Wanddicke 17,5 cm, Rohdichteklasse 1,8, Dünnbettmörtel.;m²;42.00;Muster Baustoffe GmbH;Frankfurt am Main;2026-01-01;2026-12-31
Mauerwerk;Kalksandstein 24 cm;Kalksandstein-Mauerwerk, Wanddicke 24 cm, Rohdichteklasse 1,8, Dünnbettmörtel.;m²;49.50;Rhein-Main Beton GmbH;Darmstadt;2026-01-01;2026-12-31
Mauerwerk;Porenbeton 11,5 cm;Porenbeton-Plansteine, Wanddicke 11,5 cm, für nichttragende Innenwände.;m²;34.00;Bauhandel Süd GmbH;Mannheim;2026-01-01;2026-12-31
Mauerwerk;Porenbeton 17,5 cm;Porenbeton-Plansteine, Wanddicke 17,5 cm, für tragende und aussteifende Wände.;m²;41.50;Hessen Baustofflogistik GmbH;Wiesbaden;2026-01-01;2026-12-31
Mauerwerk;Porenbeton 24 cm;Porenbeton-Plansteine, Wanddicke 24 cm, wärmedämmendes Außenmauerwerk.;m²;52.00;Main Baustoffe KG;Offenbach am Main;2026-01-01;2026-12-31
Mauerwerk;Hochlochziegel 24 cm;Hochlochziegel, Wanddicke 24 cm, tragendes Mauerwerk, Normalmörtel.;m²;54.00;Neckar Bauprodukte GmbH;Heidelberg;2026-01-01;2026-12-31
Mauerwerk;Planziegel 36,5 cm;Wärmedämmender Planziegel, Wanddicke 36,5 cm, Dünnbettmörtel, Außenwand.;m²;83.00;Taunus Baustoffhandel GmbH;Bad Homburg;2026-01-01;2026-12-31
Mauerwerk;Verblendklinker rot;Verblendklinker rot, frostbeständig, für zweischalige Außenwände.;m²;69.00;Bergstraße Baustoffe GmbH;Bensheim;2026-01-01;2026-12-31
Mauerwerk;Verblendklinker anthrazit;Verblendklinker anthrazit, frostbeständig, hochwertige Sichtfassade.;m²;78.00;Rhein Stahl & Bau GmbH;Mainz;2026-01-01;2026-12-31
Mauerwerk;Leichtbetonstein 17,5 cm;Leichtbeton-Hohlblockstein, Wanddicke 17,5 cm, tragende Innenwand.;m²;39.50;ProBau Technik GmbH;Hanau;2026-01-01;2026-12-31
Mauerwerk;Mauermörtel MG IIa;Werk-Trockenmörtel Mörtelgruppe IIa für allgemeines Mauerwerk.;t;215.00;Muster Baustoffe GmbH;Frankfurt am Main;2026-01-01;2026-12-31
Mauerwerk;Dünnbettmörtel;Dünnbettmörtel für Plansteine und Planziegel, Schichtdicke 1 bis 3 mm.;kg;0.62;Rhein-Main Beton GmbH;Darmstadt;2026-01-01;2026-12-31
Mauerwerk;Mauerwerksanker Edelstahl;Edelstahl-Luftschichtanker für zweischaliges Mauerwerk, mit Dämmstoffhalter.;Stk;0.95;Bauhandel Süd GmbH;Mannheim;2026-01-01;2026-12-31
Mauerwerk;Sturz Fertigteil 1,50 m;Vorgefertigter Mauerwerkssturz, Länge 1,50 m, für Tür- und Fensteröffnungen.;Stk;46.00;Hessen Baustofflogistik GmbH;Wiesbaden;2026-01-01;2026-12-31
Dämmung;EPS 035 100 mm;EPS-Dämmplatte WLS 035, Dicke 100 mm, für Fassaden und Innenbereiche.;m²;13.50;Main Baustoffe KG;Offenbach am Main;2026-01-01;2026-12-31
Dämmung;EPS 035 160 mm;EPS-Dämmplatte WLS 035, Dicke 160 mm, für Wärmedämmverbundsysteme.;m²;20.80;Neckar Bauprodukte GmbH;Heidelberg;2026-01-01;2026-12-31
Dämmung;EPS 032 160 mm;EPS-Dämmplatte WLS 032, Dicke 160 mm, erhöhte Wärmedämmleistung.;m²;24.50;Taunus Baustoffhandel GmbH;Bad Homburg;2026-01-01;2026-12-31
Dämmung;XPS 035 80 mm;XPS-Dämmplatte WLS 035, Dicke 80 mm, druckfest und feuchtebeständig, für Sockel und Perimeter.;m²;19.00;Bergstraße Baustoffe GmbH;Bensheim;2026-01-01;2026-12-31
Dämmung;XPS 035 120 mm;XPS-Dämmplatte WLS 035, Dicke 120 mm, druckfest, für Perimeterdämmung.;m²;27.00;Rhein Stahl & Bau GmbH;Mainz;2026-01-01;2026-12-31
Dämmung;XPS 035 160 mm;XPS-Dämmplatte WLS 035, Dicke 160 mm, hohe Druckfestigkeit, für Bodenplatten und Perimeter.;m²;35.00;ProBau Technik GmbH;Hanau;2026-01-01;2026-12-31
Dämmung;Mineralwolle 035 100 mm;Mineralwolle-Dämmplatte WLS 035, Dicke 100 mm, nicht brennbar, für Fassaden und Trennwände.;m²;18.50;Muster Baustoffe GmbH;Frankfurt am Main;2026-01-01;2026-12-31
Dämmung;Mineralwolle 035 160 mm;Mineralwolle-Dämmplatte WLS 035, Dicke 160 mm, nicht brennbar, Fassadendämmung.;m²;27.50;Rhein-Main Beton GmbH;Darmstadt;2026-01-01;2026-12-31
Dämmung;Steinwolle Flachdach 120 mm;Druckfeste Steinwolle-Dämmplatte, Dicke 120 mm, für Flachdachaufbauten.;m²;31.00;Bauhandel Süd GmbH;Mannheim;2026-01-01;2026-12-31
Dämmung;PIR 024 100 mm;PIR-Hartschaumdämmung WLS 024, Dicke 100 mm, für Dach und Boden.;m²;29.00;Hessen Baustofflogistik GmbH;Wiesbaden;2026-01-01;2026-12-31
Dämmung;PIR 024 140 mm;PIR-Hartschaumdämmung WLS 024, Dicke 140 mm, hohe Dämmleistung.;m²;39.00;Main Baustoffe KG;Offenbach am Main;2026-01-01;2026-12-31
Dämmung;Holzfaser 040 160 mm;Holzfaser-Dämmplatte WLS 040, Dicke 160 mm, für Dach- und Holzrahmenbau.;m²;34.00;Neckar Bauprodukte GmbH;Heidelberg;2026-01-01;2026-12-31
Dämmung;Trittschalldämmung EPS 30 mm;EPS-Trittschalldämmplatte, Dicke 30 mm, für schwimmenden Estrich.;m²;6.80;Taunus Baustoffhandel GmbH;Bad Homburg;2026-01-01;2026-12-31
Dämmung;Schaumglas 100 mm;Schaumglasdämmplatte, Dicke 100 mm, druckfest, dampfdicht und nicht brennbar.;m²;58.00;Bergstraße Baustoffe GmbH;Bensheim;2026-01-01;2026-12-31
Abdichtung;Bitumenbahn G200 S4;Bitumen-Schweißbahn G200 S4, als Abdichtungslage auf Betonflächen.;m²;7.80;Rhein Stahl & Bau GmbH;Mainz;2026-01-01;2026-12-31
Abdichtung;Polymerbitumenbahn PYE PV200 S5;Polymerbitumen-Schweißbahn PYE PV200 S5, für hochwertige Dach- und Bauwerksabdichtung.;m²;11.50;ProBau Technik GmbH;Hanau;2026-01-01;2026-12-31
Abdichtung;EPDM-Bahn 1,2 mm;EPDM-Abdichtungsbahn 1,2 mm, UV-beständig, für Flachdächer und Anschlüsse.;m²;16.00;Muster Baustoffe GmbH;Frankfurt am Main;2026-01-01;2026-12-31
Abdichtung;PVC-Dachbahn 1,5 mm;PVC-P Dachabdichtungsbahn 1,5 mm, mechanisch befestigt, für Flachdächer.;m²;13.50;Rhein-Main Beton GmbH;Darmstadt;2026-01-01;2026-12-31
Abdichtung;Flüssigkunststoff PMMA;PMMA-Flüssigabdichtung für Detailanschlüsse, Aufkantungen und Durchdringungen.;kg;18.00;Bauhandel Süd GmbH;Mannheim;2026-01-01;2026-12-31
Abdichtung;KMB 2K;Zweikomponentige kunststoffmodifizierte Bitumendickbeschichtung für erdberührte Bauteile.;kg;4.60;Hessen Baustofflogistik GmbH;Wiesbaden;2026-01-01;2026-12-31
Abdichtung;Mineralische Dichtungsschlämme;Flexible mineralische Dichtungsschlämme für Sockel, Keller und Nassbereiche.;kg;2.90;Main Baustoffe KG;Offenbach am Main;2026-01-01;2026-12-31
Abdichtung;Dichtband 120 mm;Elastisches Dichtband 120 mm für Innen- und Außenecken in Verbundabdichtungen.;m;3.20;Neckar Bauprodukte GmbH;Heidelberg;2026-01-01;2026-12-31
Abdichtung;Quellband Bentonit;Bentonit-Quellband für Arbeitsfugen in wasserundurchlässigen Betonbauteilen.;m;7.80;Taunus Baustoffhandel GmbH;Bad Homburg;2026-01-01;2026-12-31
Abdichtung;Fugenband PVC 240 mm;Innenliegendes PVC-Fugenband, Breite 240 mm, für Betonarbeitsfugen.;m;12.50;Bergstraße Baustoffe GmbH;Bensheim;2026-01-01;2026-12-31
Abdichtung;Radon-Sperrbahn;Radondichte Kunststoffbahn für Bodenplatten und erdberührte Bauteile.;m²;9.80;Rhein Stahl & Bau GmbH;Mainz;2026-01-01;2026-12-31
Abdichtung;Noppenbahn 20 mm;Noppenbahn 20 mm als Schutz- und Dränlage an erdberührten Kellerwänden.;m²;6.20;ProBau Technik GmbH;Hanau;2026-01-01;2026-12-31
Rohrleitungen / Entwässerung;KG-Rohr DN110 SN4;PVC-KG-Abwasserrohr DN110, Ringsteifigkeit SN4, für erdverlegte Grundstücksentwässerung.;m;8.50;Muster Baustoffe GmbH;Frankfurt am Main;2026-01-01;2026-12-31
Rohrleitungen / Entwässerung;KG-Rohr DN160 SN4;PVC-KG-Abwasserrohr DN160, Ringsteifigkeit SN4, für erdverlegte Entwässerungsleitungen.;m;14.80;Rhein-Main Beton GmbH;Darmstadt;2026-01-01;2026-12-31
Rohrleitungen / Entwässerung;KG-Rohr DN200 SN4;PVC-KG-Abwasserrohr DN200, Ringsteifigkeit SN4, für Hauptentwässerungsleitungen.;m;22.50;Bauhandel Süd GmbH;Mannheim;2026-01-01;2026-12-31
Rohrleitungen / Entwässerung;KG2000 DN110 SN10;PP-Abwasserrohr DN110, Ringsteifigkeit SN10, hoch belastbar, für erdverlegte Leitungen.;m;15.50;Hessen Baustofflogistik GmbH;Wiesbaden;2026-01-01;2026-12-31
Rohrleitungen / Entwässerung;KG2000 DN160 SN10;PP-Abwasserrohr DN160, Ringsteifigkeit SN10, für Verkehrsflächen und hohe Belastung.;m;27.00;Main Baustoffe KG;Offenbach am Main;2026-01-01;2026-12-31
Rohrleitungen / Entwässerung;HT-Rohr DN50;PP-HT-Abflussrohr DN50, temperaturbeständig, für Gebäudeentwässerung.;m;4.20;Neckar Bauprodukte GmbH;Heidelberg;2026-01-01;2026-12-31
Rohrleitungen / Entwässerung;HT-Rohr DN100;PP-HT-Abflussrohr DN100, temperaturbeständig, für Fall- und Sammelleitungen.;m;8.90;Taunus Baustoffhandel GmbH;Bad Homburg;2026-01-01;2026-12-31
Rohrleitungen / Entwässerung;PE-HD Rohr DN32;PE-HD Druckrohr DN32, PN10, für Wasser- und Medienleitungen.;m;3.80;Bergstraße Baustoffe GmbH;Bensheim;2026-01-01;2026-12-31
Rohrleitungen / Entwässerung;PE-HD Rohr DN63;PE-HD Druckrohr DN63, PN10, für Wasser- und Versorgungsleitungen.;m;7.90;Rhein Stahl & Bau GmbH;Mainz;2026-01-01;2026-12-31
Rohrleitungen / Entwässerung;PE-HD Rohr DN110;PE-HD Druckrohr DN110, PN10, für größere Versorgungsleitungen.;m;16.50;ProBau Technik GmbH;Hanau;2026-01-01;2026-12-31
Rohrleitungen / Entwässerung;SML-Rohr DN100;Gusseisernes SML-Abflussrohr DN100, nicht brennbar, schallgedämmt für Gebäudeentwässerung.;m;28.00;Muster Baustoffe GmbH;Frankfurt am Main;2026-01-01;2026-12-31
Rohrleitungen / Entwässerung;SML-Rohr DN150;Gusseisernes SML-Abflussrohr DN150 für Fall- und Sammelleitungen.;m;44.00;Rhein-Main Beton GmbH;Darmstadt;2026-01-01;2026-12-31
Rohrleitungen / Entwässerung;Drainagerohr DN100;PVC-Drainagerohr DN100, gelocht, mit Filtervlies, für Bauwerksdrainage.;m;5.60;Bauhandel Süd GmbH;Mannheim;2026-01-01;2026-12-31
Rohrleitungen / Entwässerung;Drainagerohr DN160;PVC-Drainagerohr DN160, gelocht, für größere Dränanlagen.;m;9.80;Hessen Baustofflogistik GmbH;Wiesbaden;2026-01-01;2026-12-31
Rohrleitungen / Entwässerung;Betonrohr DN300;Stahlbetonrohr DN300, für Regenwasserkanäle und Grundstücksentwässerung.;m;58.00;Main Baustoffe KG;Offenbach am Main;2026-01-01;2026-12-31
Rohrleitungen / Entwässerung;Betonrohr DN500;Stahlbetonrohr DN500, für größere Regenwasser- und Entwässerungskanäle.;m;96.00;Neckar Bauprodukte GmbH;Heidelberg;2026-01-01;2026-12-31
Rohrleitungen / Entwässerung;Schacht DN1000;Beton-Schachtring DN1000, Standardhöhe 500 mm, für Kontroll- und Revisionsschächte.;Stk;145.00;Taunus Baustoffhandel GmbH;Bad Homburg;2026-01-01;2026-12-31
Rohrleitungen / Entwässerung;Schachtabdeckung D400;Gusseiserne Schachtabdeckung Klasse D400, lichte Weite 600 mm, für Fahrbahnen.;Stk;285.00;Bergstraße Baustoffe GmbH;Bensheim;2026-01-01;2026-12-31
Pflaster / Außenanlagen;Betonpflaster grau 20x10x8;Rechteckpflaster Beton, grau, 20x10x8 cm, für Geh- und Fahrflächen.;m²;22.00;Rhein Stahl & Bau GmbH;Mainz;2026-01-01;2026-12-31
Pflaster / Außenanlagen;Betonpflaster anthrazit 20x10x8;Rechteckpflaster Beton, anthrazit, 20x10x8 cm, für Außenanlagen.;m²;27.00;ProBau Technik GmbH;Hanau;2026-01-01;2026-12-31
Pflaster / Außenanlagen;Ökopflaster 20x20x8;Wasserdurchlässiges Betonpflaster 20x20x8 cm mit Sickerfugen, für Stellplätze.;m²;31.00;Muster Baustoffe GmbH;Frankfurt am Main;2026-01-01;2026-12-31
Pflaster / Außenanlagen;Granitpflaster 10/10;Naturstein-Kleinpflaster Granit 10/10 cm, grau, gespalten.;t;310.00;Rhein-Main Beton GmbH;Darmstadt;2026-01-01;2026-12-31
Pflaster / Außenanlagen;Bordstein 15x30;Beton-Hochbordstein 15x30 cm, Länge 1,0 m, grau.;m;12.50;Bauhandel Süd GmbH;Mannheim;2026-01-01;2026-12-31
Pflaster / Außenanlagen;Tiefbord 8x25;Beton-Tiefbordstein 8x25 cm, Länge 1,0 m, grau.;m;8.20;Hessen Baustofflogistik GmbH;Wiesbaden;2026-01-01;2026-12-31
Pflaster / Außenanlagen;Rasenbord 5x25;Beton-Rasenbord 5x25 cm, zur Einfassung von Grünflächen.;m;5.80;Main Baustoffe KG;Offenbach am Main;2026-01-01;2026-12-31
Pflaster / Außenanlagen;Betonplatten 40x40x5;Gehwegplatten aus Beton 40x40x5 cm, grau, für Terrassen und Wege.;m²;24.00;Neckar Bauprodukte GmbH;Heidelberg;2026-01-01;2026-12-31
Pflaster / Außenanlagen;Keramikplatte außen 60x60x2;Feinsteinzeugplatte 60x60x2 cm, frostbeständig und rutschhemmend, für Terrassen.;m²;49.00;Taunus Baustoffhandel GmbH;Bad Homburg;2026-01-01;2026-12-31
